name,confirmed,recovered,death,new
湖北,62662,11854,2144,631
广东,1333,689,5,1
河南,1267,733,19,2
浙江,1203,680,1,28
湖南,1011,652,4,1
安徽,988,538,6,1
江西,934,489,1,0
山东,749,278,4,202
江苏,631,367,-,0
重庆,567,299,6,7
四川,525,226,3,5
黑龙江,479,164,12,3
北京,396,169,4,1
上海,334,211,2,1
河北,308,178,5,1
福建,293,143,1,0
广西,246,100,2,1
陕西,245,124,1,0
云南,174,96,2,2
海南,168,106,4,0
贵州,146,76,2,0
天津,132,59,3,1
山西,132,76,-,1
辽宁,121,61,1,0
吉林,91,44,1,0
甘肃,91,71,2,0
新疆,76,22,1,0
内蒙古,75,16,0,0
宁夏,71,48,-,0
香港,68,5,2,3
台湾,26,2,1,0
青海,18,18,-,0
澳门,10,6,-,0
西藏,1,1,-,0
