name,confirmed,recovered,death,new
武汉,45346,6264,1684,319
孝感,3346,771,94,17
黄冈,2856,1274,90,17
荆州,1517,531,40,7
鄂州,1343,375,39,5
随州,1287,386,28,4
襄阳,1170,343,24,3
黄石,974,355,27,7
宜昌,895,250,28,4
荆门,800,229,37,6
咸宁,766,313,10,0
十堰,654,209,2,13
仙桃,568,210,19,1
天门,477,165,12,4
恩施,245,112,3,1
监狱系统,220,-,-,220
潜江,188,57,7,3
神农架林区,10,10,-,0
深圳,416,222,2,0
广州,339,172,-,0
珠海,98,49,1,0
东莞,93,27,1,1
佛山,84,34,-,0
中山,66,42,-,0
惠州,62,41,-,0
汕头,25,20,-,0
江门,23,9,-,0
湛江,22,12,-,0
肇庆,18,8,1,0
梅州,16,11,-,0
茂名,14,6,-,0
阳江,13,10,-,0
清远,12,9,-,0
韶关,10,5,-,0
揭阳,8,4,-,0
汕尾,5,2,-,0
潮州,5,4,-,0
河源,4,1,-,0
待确认,-,1,-,-
信阳,270,134,3,1
郑州,157,98,1,1
南阳,155,65,2,0
驻马店,139,99,-,0
商丘,91,63,4,0
周口,76,39,-,0
平顶山,58,34,1,0
新乡,57,25,3,0
安阳,53,29,-,0
许昌,39,19,-,0
漯河,35,22,-,0
焦作,32,12,1,0
洛阳,31,15,1,0
开封,26,15,-,0
鹤壁,19,8,-,0
濮阳,17,7,-,0
三门峡,7,6,1,0
济源,5,3,-,0
待确认,-,40,2,-
温州,504,268,1,0
杭州,169,114,-,0
宁波,157,101,-,1
台州,146,84,-,0
金华,55,36,-,0
嘉兴,45,22,-,0
绍兴,42,20,-,0
省十里丰监狱,34,-,-,27
丽水,17,14,-,0
衢州,14,10,-,0
湖州,10,6,-,0
舟山,10,5,-,0
长沙,242,125,2,0
岳阳,156,76,1,0
邵阳,102,78,1,0
常德,80,58,-,1
株洲,78,46,-,0
娄底,76,54,-,0
益阳,59,51,-,0
衡阳,48,37,-,0
永州,43,30,-,0
怀化,40,38,-,0
郴州,39,30,-,0
湘潭,35,17,-,0
湘西州,8,7,-,0
张家界,5,5,-,0
合肥,174,97,1,1
蚌埠,160,56,5,0
阜阳,155,90,-,0
亳州,108,70,-,0
安庆,83,55,-,0
六安,69,35,-,0
宿州,41,23,-,0
马鞍山,37,17,-,0
芜湖,33,26,-,0
铜陵,29,13,-,0
淮北,27,14,-,0
淮南,27,14,-,0
池州,17,10,-,0
滁州,13,8,-,0
黄山,9,6,-,0
宣城,6,4,-,0
南昌,229,145,-,0
新余,130,80,-,0
上饶,123,64,-,0
九江,118,47,-,0
宜春,106,53,-,0
赣州,76,34,1,0
抚州,72,37,-,0
萍乡,33,11,-,0
吉安,22,11,-,0
鹰潭,18,4,-,0
景德镇,6,3,-,0
赣江新区,1,0,-,0
济宁,253,29,-,201
青岛,59,34,1,0
临沂,49,44,-,0
济南,47,22,-,0
烟台,47,17,-,0
潍坊,44,17,-,0
威海,38,18,-,0
聊城,38,21,-,0
德州,37,11,2,0
泰安,34,12,1,1
淄博,30,9,-,0
枣庄,24,11,-,0
菏泽,18,14,-,0
日照,16,8,-,0
滨州,15,11,-,0
南京,93,47,-,0
苏州,87,42,-,0
徐州,79,58,-,0
淮安,66,34,-,0
无锡,55,36,-,0
常州,51,36,-,0
连云港,48,18,-,0
南通,40,23,-,0
泰州,37,24,-,0
盐城,27,20,-,0
扬州,23,13,-,0
宿迁,13,8,-,0
镇江,12,8,-,0
万州区,115,56,4,2
江北区,28,9,-,0
云阳县,25,19,-,0
綦江区,23,11,-,0
合川区,23,8,-,0
奉节县,22,10,-,0
长寿区,21,11,-,0
开州区,20,15,1,0
忠县,20,18,-,0
九龙坡区,20,10,1,0
垫江县,20,9,-,0
渝中区,20,14,-,0
潼南区,18,5,-,0
两江新区,17,7,-,0
渝北区,17,9,-,1
南岸区,15,5,-,0
石柱县,15,10,-,1
大足区,14,9,-,0
巫溪县,13,9,-,0
丰都县,10,4,-,0
巫山县,10,6,-,0
铜梁区,10,4,-,1
璧山区,9,7,-,0
荣昌区,9,5,-,0
沙坪坝区,8,1,-,0
大渡口区,7,5,-,0
巴南区,6,2,-,0
永川区,5,4,-,0
涪陵区,5,2,-,2
梁平区,4,4,-,0
江津区,4,3,-,0
高新区,4,2,-,0
城口县,2,2,-,0
黔江区,2,2,-,0
彭水县,2,0,-,0
武隆县,1,1,-,0
秀山县,1,1,-,0
酉阳县,1,0,-,0
万盛经开区,1,0,-,0
成都,143,71,3,2
甘孜州,68,9,-,1
达州,41,11,-,1
南充,38,15,-,0
广安,30,20,-,0
巴中,24,10,-,0
泸州,24,6,-,0
内江,22,10,-,0
绵阳,22,10,-,0
德阳,18,5,-,1
遂宁,17,10,-,0
攀枝花,16,13,-,0
凉山州,13,6,-,0
宜宾,12,7,-,0
自贡,9,7,-,0
眉山,8,3,-,0
雅安,7,4,-,0
广元,6,4,-,0
乐山,3,2,-,0
资阳,3,2,-,0
阿坝州,1,1,-,0
哈尔滨,197,43,3,3
双鸭山,52,16,3,0
绥化,47,26,4,0
鸡西,46,3,-,0
齐齐哈尔,43,16,1,0
大庆,26,8,1,0
七台河,17,6,-,0
佳木斯,15,14,-,0
牡丹江,14,1,-,0
黑河,14,3,-,0
鹤岗,5,2,-,0
大兴安岭地区,2,2,-,0
伊春,1,0,-,0
待确认,-,24,-,-
海淀区,61,-,-,0
朝阳区,58,-,-,0
西城区,53,-,-,0
丰台区,41,-,-,1
大兴区,39,16,-,0
昌平区,29,-,-,0
通州区,19,1,-,0
房山区,16,-,-,0
石景山区,14,1,-,0
东城区,12,1,-,0
顺义区,10,-,-,0
怀柔区,7,3,-,0
密云区,7,-,-,0
门头沟区,3,-,-,0
延庆区,1,-,-,0
外地来京人员,26,2,-,0
待确认,-,145,4,-
浦东新区,60,42,-,0
宝山区,21,10,-,0
闵行区,19,15,-,1
徐汇区,18,10,-,0
静安区,16,10,-,0
松江区,14,7,-,0
长宁区,13,10,-,0
普陀区,11,7,-,0
嘉定区,9,3,-,0
杨浦区,9,4,-,0
奉贤区,9,3,-,0
虹口区,7,5,-,0
黄浦区,6,3,-,0
青浦区,5,5,-,0
崇明区,4,2,-,0
金山区,3,2,-,0
外地来沪人员,110,73,-,0
待确认,-,-,2,0
唐山,57,19,1,1
沧州,48,22,3,0
张家口,34,25,-,0
保定,32,29,-,0
邯郸,31,17,-,0
廊坊,30,21,-,0
石家庄,28,14,-,0
邢台,23,13,1,0
秦皇岛,10,6,-,0
衡水,8,6,-,0
承德,7,6,-,0
福州,71,36,1,0
莆田,55,22,-,0
泉州,46,16,-,0
厦门,35,17,-,0
宁德,26,17,-,0
南平,20,8,-,0
漳州,20,13,-,0
三明,14,5,-,0
龙岩,6,1,-,0
待确认,-,8,-,-
南宁,54,24,-,0
北海,44,14,1,0
桂林,31,15,-,0
河池,24,4,1,1
柳州,24,11,-,0
防城港,19,6,-,0
玉林,11,4,-,0
来宾,11,-,-,0
钦州,8,6,-,0
贵港,8,3,-,0
梧州,5,5,-,0
贺州,4,1,-,0
百色,3,2,-,0
待确认,-,5,-,0
西安,120,45,1,0
安康,26,16,-,0
汉中,26,10,-,0
咸阳,17,10,-,0
渭南,15,4,-,0
宝鸡,13,11,-,0
延安,8,6,-,0
铜川,8,6,-,0
商洛,7,4,-,0
榆林,3,3,-,0
韩城,1,1,-,0
杨凌示范区,1,0,-,0
待确认,-,8,-,-
昆明,53,32,-,1
昭通,25,6,-,0
西双版纳傣族自治州,15,4,1,0
玉溪,14,9,1,0
大理州,13,10,-,0
曲靖,13,8,-,0
红河州,9,4,-,1
保山,9,4,-,0
丽江,7,7,-,0
德宏州,5,2,-,0
普洱,4,4,-,0
楚雄州,4,4,-,0
文山,2,1,-,0
临沧,1,1,-,0
三亚,54,42,1,0
海口,39,18,-,0
儋州,15,11,-,0
万宁,13,9,-,0
