name,confirmed,recovered,death,new
湖北,62031,10351,2029,349
广东,1332,639,5,1
河南,1265,616,19,4
浙江,1175,630,1,2
湖南,1010,623,4,2
安徽,987,458,6,1
江西,934,433,1,1
江苏,631,345,-,0
重庆,560,274,5,5
山东,546,250,4,2
四川,520,213,3,6
黑龙江,476,134,12,6
北京,395,153,4,2
上海,334,199,2,0
河北,307,163,5,1
福建,293,117,1,0
陕西,245,106,1,3
广西,245,90,2,1
云南,173,79,1,0
海南,168,96,4,5
贵州,146,72,2,0
山西,131,73,-,0
天津,130,54,3,2
辽宁,121,59,1,0
吉林,91,41,1,1
甘肃,91,65,2,0
新疆,76,20,1,0
内蒙古,75,12,-,0
宁夏,71,44,-,0
香港,67,5,2,3
台湾,24,2,1,2
青海,18,16,-,0
澳门,10,6,-,0
西藏,1,1,-,0
