name,confirmed,recovered,death,new
廊坊,30,20,-,0
石家庄,28,13,-,0
邢台,23,11,1,0
秦皇岛,10,5,-,0
衡水,8,6,-,0
承德,7,6,-,0
福州,71,33,1,0
莆田,55,19,-,0
泉州,46,13,-,0
厦门,35,10,-,0
宁德,26,17,-,0
南平,20,8,-,0
漳州,20,11,-,0
三明,14,5,-,0
龙岩,6,1,-,0
西安,120,45,1,2
安康,26,14,-,1
汉中,26,5,-,0
咸阳,17,8,-,0
渭南,15,3,-,0
宝鸡,13,10,-,0
延安,8,6,-,0
铜川,8,6,-,0
商洛,7,4,-,0
榆林,3,1,-,0
韩城,1,1,-,0
杨凌示范区,1,0,-,0
待确认,-,3,-,0
南宁,54,24,-,0
北海,44,14,1,0
桂林,31,15,-,0
柳州,24,11,-,0
河池,23,4,1,0
防城港,19,6,-,1
玉林,11,4,-,0
来宾,11,-,-,0
钦州,8,1,-,0
贵港,8,3,-,0
梧州,5,5,-,0
贺州,4,1,-,0
百色,3,2,-,0
昆明,53,24,-,0
昭通,25,5,-,0
西双版纳傣族自治州,15,4,-,0
玉溪,14,9,1,0
大理州,13,10,-,0
曲靖,13,6,-,0
保山,9,3,-,0
红河州,8,3,-,0
丽江,7,7,-,0
德宏州,5,2,-,0
普洱,4,3,-,0
楚雄州,4,2,-,0
文山,2,0,-,0
临沧,1,1,-,0
三亚,54,34,1,0
海口,39,18,-,5
儋州,15,11,-,0
万宁,13,9,-,0
澄迈,9,4,1,0
昌江黎族自治县,7,2,-,0
琼海,6,4,1,0
临高,6,4,-,0
陵水黎族自治县,4,1,-,0
东方,3,2,-,0
定安,3,2,1,0
文昌,3,3,-,0
保亭黎族苗族自治县,3,1,-,0
乐东黎族自治县,2,-,-,0
琼中黎族苗族自治县,1,1,-,0
贵阳,36,14,1,0
遵义,32,17,-,0
毕节地区,23,10,-,0
黔南州,17,7,-,0
六盘水,10,6,1,0
黔东南州,10,4,-,0
铜仁地区,10,9,-,0
黔西南州,4,4,-,0
安顺,4,1,-,0
晋中,36,18,-,0
运城,19,16,-,0
太原,19,13,-,0
大同,12,6,-,0
晋城,10,3,-,0
朔州,8,3,-,0
长治,8,1,-,0
忻州,7,4,-,0
吕梁,6,6,-,0
阳泉,4,2,-,0
临汾,2,1,-,0
宝坻区,55,15,1,2
河东区,15,7,-,0
河北区,12,9,-,0
和平区,6,4,-,0
南开区,6,1,-,0
北辰区,6,1,-,0
西青区,4,4,-,0
河西区,4,2,-,0
宁河区,4,0,-,0
东丽区,4,2,-,0
滨海新区,3,1,-,0
红桥区,2,2,-,0
武清区,2,1,-,0
津南区,1,1,-,0
外地来津人员,6,4,-,0
待确认,-,-,2,-
沈阳,28,23,-,0
大连,19,9,-,0
葫芦岛,12,1,1,0
锦州,12,6,-,0
盘锦,11,4,-,0
