name,confirmed,recovered,death
湖北,51986,3862,1318
广东,1261,332,2
河南,1184,316,11
浙江,1155,367,-
湖南,988,363,2
安徽,934,166,6
江西,900,187,1
江苏,593,143,-
重庆,529,139,4
山东,523,111,2
四川,463,105,1
黑龙江,418,46,11
北京,372,79,3
上海,318,90,1
河北,283,74,3
福建,281,59,0
陕西,230,53,-
广西,226,35,2
云南,162,27,-
海南,158,30,4
贵州,140,28,1
山西,126,36,-
天津,120,21,3
辽宁,117,24,1
甘肃,91,39,2
吉林,86,25,1
宁夏,67,24,-
新疆,65,6,1
内蒙古,65,6,-
香港,53,1,1
青海,18,11,0
台湾,18,1,-
澳门,10,3,-
西藏,1,1,-
