name,confirmed,recovered,death,added_date
韩国,30,9,-,20200217
马来西亚,22,7,-,20200217
德国,16,1,-,20200217
越南,16,7,-,20200217
美国,15,3,-,20200217
澳大利亚,15,5,-,20200217
法国,12,4,1,20200217
英国,9,8,-,20200217
阿联酋,9,4,-,20200217
加拿大,8,1,-,20200217
意大利,3,-,-,20200217
印度,3,3,-,20200217
菲律宾,3,1,1,20200217
西班牙,2,-,-,20200217
俄罗斯,2,2,-,20200217
埃及,1,-,-,20200217
巴西,1,-,-,20200217
比利时,1,1,-,20200217
瑞典,1,-,-,20200217
芬兰,1,1,-,20200217
斯里兰卡,1,1,-,20200217
柬埔寨,1,1,-,20200217
尼泊尔,1,1,-,20200217
韩国,2337,26,13,20200228
日本,933,37,10,20200228
意大利,653,45,17,20200228
伊朗,270,54,26,20200228
新加坡,96,66,-,20200228
美国,60,3,-,20200228
德国,48,14,-,20200228
科威特,43,-,-,20200228
泰国,41,22,-,20200228
法国,38,12,2,20200228
巴林,36,-,-,20200228
西班牙,25,2,-,20200228
马来西亚,25,20,-,20200228
澳大利亚,23,15,-,20200228
英国,19,8,-,20200228
阿联酋,19,5,-,20200228
越南,16,16,-,20200228
加拿大,14,6,-,20200228
瑞士,9,-,-,20200228
伊拉克,7,-,-,20200228
瑞典,7,-,-,20200228
阿曼,6,-,-,20200228
以色列,6,1,-,20200228
奥地利,5,-,-,20200228
俄罗斯,5,2,-,20200228
挪威,4,-,-,20200228
希腊,4,-,-,20200228
克罗地亚,3,-,-,20200228
黎巴嫩,3,-,-,20200228
印度,3,3,-,20200228
菲律宾,3,1,1,20200228
荷兰,2,-,-,20200228
巴基斯坦,2,-,-,20200228
芬兰,2,1,-,20200228
白俄罗斯,1,-,-,20200228
新西兰,1,-,-,20200228
立陶宛,1,-,-,20200228
尼日利亚,1,-,-,20200228
埃及,1,1,-,20200228
爱沙尼亚,1,-,-,20200228
丹麦,1,-,-,20200228
罗马尼亚,1,-,-,20200228
北马其顿,1,-,-,20200228
格鲁吉亚,1,-,-,20200228
阿尔及利亚,1,-,-,20200228
阿富汗,1,-,-,20200228
巴西,1,-,-,20200228
比利时,1,1,-,20200228
斯里兰卡,1,1,-,20200228
柬埔寨,1,1,-,20200228
尼泊尔,1,1,-,20200228
日本,253,1,1,20200215
新加坡,67,17,-,20200215
泰国,33,10,-,20200215
韩国,28,7,-,20200215
马来西亚,19,3,-,20200215
德国,16,1,-,20200215
越南,16,7,-,20200215
美国,15,3,-,20200215
澳大利亚,15,5,-,20200215
法国,11,-,-,20200215
英国,9,1,-,20200215
阿联酋,8,3,-,20200215
加拿大,8,1,-,20200215
意大利,3,-,-,20200215
印度,3,-,-,20200215
菲律宾,3,1,1,20200215
西班牙,2,-,-,20200215
俄罗斯,2,2,-,20200215
埃及,1,-,-,20200215
巴西,1,-,-,20200215
比利时,1,-,-,20200215
瑞典,1,-,-,20200215
芬兰,1,1,-,20200215
斯里兰卡,1,1,-,20200215
柬埔寨,1,1,-,20200215
尼泊尔,1,1,-,20200215
日本,769,23,3,20200223
韩国,556,18,4,20200223
新加坡,89,49,-,20200223
意大利,79,1,2,20200223
泰国,35,20,-,20200223
美国,34,3,-,20200223
伊朗,28,-,6,20200223
马来西亚,22,15,-,20200223
澳大利亚,17,5,-,20200223
德国,16,9,-,20200223
越南,16,15,-,20200223
阿联酋,13,4,-,20200223
法国,12,4,1,20200223
英国,9,8,-,20200223
加拿大,9,6,-,20200223
印度,3,3,-,20200223
菲律宾,3,1,1,20200223
西班牙,2,-,-,20200223
俄罗斯,2,2,-,20200223
伊拉克,1,-,-,20200223
黎巴嫩,1,-,-,20200223
以色列,1,-,-,20200223
巴西,1,-,-,20200223
比利时,1,1,-,20200223
瑞典,1,-,-,20200223
芬兰,1,1,-,20200223
斯里兰卡,1,1,-,20200223
柬埔寨,1,1,-,20200223
尼泊尔,1,1,-,20200223
日本,838,23,4,20200224
韩国,763,18,7,20200224
意大利,157,2,3,20200224
新加坡,89,49,-,20200224
伊朗,43,-,8,20200224
泰国,35,20,-,20200224
美国,34,3,-,20200224
马来西亚,22,15,-,20200224
澳大利亚,17,5,-,20200224
德国,16,14,-,20200224
越南,16,15,-,20200224
英国,13,8,-,20200224
阿联酋,13,4,-,20200224
法国,12,4,1,20200224
加拿大,9,6,-,20200224
印度,3,3,-,20200224
菲律宾,3,1,1,20200224
西班牙,2,-,-,20200224
俄罗斯,2,2,-,20200224
伊拉克,1,-,-,20200224
黎巴嫩,1,-,-,20200224
以色列,1,-,-,20200224
巴西,1,-,-,20200224
比利时,1,1,-,20200224
瑞典,1,-,-,20200224
芬兰,1,1,-,20200224
斯里兰卡,1,1,-,20200224
柬埔寨,1,1,-,20200224
尼泊尔,1,1,-,20200224
韩国,977,22,11,20200225
日本,854,23,4,20200225
意大利,283,2,7,20200225
伊朗,95,21,16,20200225
新加坡,90,53,-,20200225
美国,53,3,-,20200225
泰国,37,22,-,20200225
澳大利亚,22,10,-,20200225
马来西亚,22,15,-,20200225
德国,16,14,-,20200225
越南,16,16,-,20200225
英国,13,8,-,20200225
阿联酋,13,4,-,20200225
法国,12,11,1,20200225
加拿大,11,6,-,20200225
巴林,8,-,-,20200225
科威特,8,-,-,20200225
以色列,6,-,-,20200225
伊拉克,5,-,-,20200225
西班牙,3,2,-,20200225
印度,3,3,-,20200225
菲律宾,3,1,1,20200225
奥地利,2,-,-,20200225
阿曼,2,-,-,20200225
俄罗斯,2,2,-,20200225
克罗地亚,1,-,-,20200225
阿富汗,1,-,-,20200225
黎巴嫩,1,-,-,20200225
巴西,1,-,-,20200225
比利时,1,1,-,20200225
瑞典,1,-,-,20200225
芬兰,1,1,-,20200225
斯里兰卡,1,1,-,20200225
柬埔寨,1,1,-,20200225
尼泊尔,1,1,-,20200225
日本,744,1,3,20200222
韩国,346,12,2,20200222
新加坡,85,37,-,20200222
泰国,35,17,-,20200222
美国,34,3,-,20200222
意大利,23,-,1,20200222
马来西亚,22,15,-,20200222
伊朗,18,0,4,20200222
德国,16,9,-,20200222
越南,16,15,-,20200222
澳大利亚,15,5,-,20200222
法国,12,4,1,20200222
阿联酋,11,4,-,20200222
英国,9,8,-,20200222
加拿大,9,6,-,20200222
印度,3,3,-,20200222
菲律宾,3,1,1,20200222
西班牙,2,-,-,20200222
俄罗斯,2,2,-,20200222
黎巴嫩,1,-,-,20200222
以色列,1,-,-,20200222
巴西,1,-,-,20200222
比利时,1,1,-,20200222
瑞典,1,-,-,20200222
芬兰,1,1,-,20200222
斯里兰卡,1,1,-,20200222
柬埔寨,1,1,-,20200222
尼泊尔,1,1,-,20200222
日本,252,1,1,20200214
新加坡,58,15,-,20200214
泰国,33,10,-,20200214
韩国,28,7,-,20200214
马来西亚,19,3,-,20200214
德国,16,1,-,20200214
越南,16,7,-,20200214
美国,15,3,-,20200214
澳大利亚,15,5,-,20200214
法国,11,-,-,20200214
英国,9,1,-,20200214
阿联酋,8,1,-,20200214
加拿大,7,1,-,20200214
意大利,3,-,-,20200214
印度,3,-,-,20200214
菲律宾,3,1,1,20200214
西班牙,2,-,-,20200214
俄罗斯,2,2,-,20200214
巴西,1,-,-,20200214
比利时,1,-,-,20200214
瑞典,1,-,-,20200214
芬兰,1,1,-,20200214
斯里兰卡,1,1,-,20200214
柬埔寨,1,1,-,20200214
尼泊尔,1,1,-,20200214
