name,confirmed,recovered,death,added_date
甘肃,91,63,2,20200219
吉林,90,37,1,20200219
新疆,76,20,1,20200219
内蒙古,75,9,-,20200219
宁夏,71,42,-,20200219
香港,63,4,2,20200219
台湾,22,2,1,20200219
青海,18,16,-,20200219
澳门,10,5,-,20200219
西藏,1,1,-,20200219
湖北,58182,6639,1696,20200217
广东,1322,476,4,20200217
河南,1246,445,16,20200217
浙江,1171,470,-,20200217
湖南,1006,468,3,20200217
安徽,973,269,6,20200217
江西,930,275,1,20200217
江苏,626,226,-,20200217
重庆,551,207,5,20200217
山东,541,175,2,20200217
四川,495,136,3,20200217
黑龙江,457,80,11,20200217
北京,381,114,4,20200217
上海,331,161,1,20200217
河北,301,111,3,20200217
福建,290,84,-,20200217
陕西,240,74,-,20200217
广西,238,51,2,20200217
云南,171,45,-,20200217
海南,162,52,4,20200217
贵州,146,47,1,20200217
山西,129,50,-,20200217
天津,125,45,3,20200217
辽宁,121,41,1,20200217
甘肃,90,54,2,20200217
吉林,89,30,1,20200217
新疆,75,12,1,20200217
内蒙古,72,8,-,20200217
宁夏,70,33,-,20200217
香港,57,2,1,20200217
台湾,20,2,1,20200217
青海,18,13,-,20200217
澳门,10,5,-,20200217
西藏,1,1,-,20200217
湖北,36792,26440,2682,20200228
广东,405,936,7,20200228
河南,140,1112,20,20200228
浙江,229,975,1,20200228
湖南,175,838,4,20200228
安徽,153,831,6,20200228
江西,144,790,1,20200228
山东,346,404,6,20200228
江苏,116,515,-,20200228
重庆,168,402,6,20200228
四川,199,336,3,20200228
黑龙江,184,283,13,20200228
北京,146,257,7,20200228
上海,55,279,3,20200228
河北,36,276,6,20200228
福建,56,239,1,20200228
广西,82,168,2,20200228
陕西,47,197,1,20200228
云南,16,156,2,20200228
海南,31,132,5,20200228
贵州,32,112,2,20200228
天津,31,102,3,20200228
山西,25,108,-,20200228
辽宁,27,93,1,20200228
香港,62,30,2,20200228
吉林,19,73,1,20200228
甘肃,7,82,2,20200228
新疆,21,52,3,20200228
内蒙古,30,45,0,20200228
宁夏,4,68,-,20200228
台湾,24,9,1,20200228
青海,0,18,0,20200228
澳门,2,8,-,20200228
西藏,0,1,-,20200228
湖北,54406,4774,1457,20200215
河南,1212,356,13,20200215
浙江,1162,409,-,20200215
湖南,1001,389,2,20200215
安徽,950,198,6,20200215
江西,913,210,1,20200215
江苏,604,160,-,20200215
重庆,537,152,5,20200215
山东,530,139,2,20200215
四川,470,115,1,20200215
黑龙江,425,48,11,20200215
北京,372,79,3,20200215
上海,326,90,1,20200215
河北,291,86,3,20200215
福建,285,66,0,20200215
广西,235,40,2,20200215
陕西,230,53,-,20200215
海南,162,38,4,20200215
云南,162,35,-,20200215
贵州,143,33,1,20200215
广东,129,386,2,20200215
山西,127,38,-,20200215
天津,120,32,3,20200215
辽宁,119,29,1,20200215
甘肃,90,44,2,20200215
吉林,88,25,1,20200215
新疆,70,6,1,20200215
宁夏,70,27,-,20200215
内蒙古,65,6,-,20200215
香港,56,1,1,20200215
青海,18,11,0,20200215
台湾,18,1,-,20200215
澳门,10,3,-,20200215
西藏,1,1,-,20200215
湖北,64084,15320,2346,20200223
广东,1342,742,6,20200223
河南,1271,862,19,20200223
浙江,1205,745,1,20200223
湖南,1016,705,4,20200223
安徽,989,630,6,20200223
江西,934,611,1,20200223
山东,754,311,4,20200223
江苏,631,412,-,20200223
重庆,573,328,6,20200223
四川,526,259,3,20200223
黑龙江,480,216,12,20200223
北京,399,189,4,20200223
上海,335,249,3,20200223
河北,311,206,6,20200223
福建,293,165,1,20200223
广西,249,104,2,20200223
陕西,245,154,1,20200223
云南,174,115,2,20200223
海南,168,104,4,20200223
贵州,146,91,2,20200223
天津,135,75,3,20200223
山西,132,85,-,20200223
辽宁,121,68,1,20200223
吉林,91,52,1,20200223
甘肃,91,76,2,20200223
新疆,76,25,2,20200223
内蒙古,75,26,0,20200223
宁夏,71,56,-,20200223
香港,69,11,2,20200223
台湾,26,2,1,20200223
青海,18,18,-,20200223
澳门,10,6,-,20200223
西藏,1,1,-,20200223
湖北,64287,16739,2495,20200224
广东,1345,772,6,20200224
河南,1271,930,19,20200224
浙江,1205,766,1,20200224
湖南,1016,725,4,20200224
安徽,989,662,6,20200224
江西,934,645,1,20200224
