name,confirmed,recovered,death,new
湖北,63454,13572,2250,366
广东,1339,720,5,6
河南,1270,805,19,3
浙江,1205,702,1,2
湖南,1013,684,4,2
安徽,989,587,6,1
江西,934,555,1,0
山东,750,300,4,2
江苏,631,401,-,0
重庆,572,316,6,5
四川,526,245,3,1
黑龙江,479,192,12,0
北京,399,178,4,3
上海,335,227,3,0
河北,309,187,6,1
福建,293,155,1,0
广西,249,104,2,3
陕西,245,140,1,0
云南,174,107,2,0
海南,168,97,4,0
贵州,146,90,2,0
天津,135,62,3,2
山西,132,79,-,0
辽宁,121,66,1,0
吉林,91,46,1,0
甘肃,91,76,2,0
新疆,76,24,2,0
内蒙古,75,22,0,0
宁夏,71,48,-,0
香港,68,6,2,0
台湾,26,2,1,2
青海,18,18,-,0
澳门,10,6,-,0
西藏,1,1,-,0
