name,confirmed,recovered,death,new
武汉,30176,15829,2132,313
孝感,1574,1829,114,1
黄冈,749,2041,114,0
荆州,620,913,46,0
鄂州,661,685,43,0
随州,529,740,38,0
襄阳,390,753,32,0
黄石,327,653,33,0
宜昌,471,429,31,2
荆门,353,534,37,1
咸宁,181,644,11,0
十堰,276,389,6,0
仙桃,168,388,19,0
天门,151,332,13,0
恩施,75,172,4,0
潜江,90,99,9,1
神农架林区,1,10,0,0
深圳,133,281,3,0
广州,105,240,1,0
珠海,34,63,1,0
东莞,42,55,1,1
佛山,37,47,-,0
中山,8,58,-,0
惠州,8,54,-,0
汕头,3,22,-,0
江门,10,13,-,0
湛江,5,17,-,0
肇庆,5,13,1,0
梅州,4,12,-,0
茂名,5,9,-,0
阳江,4,10,-,0
清远,0,12,-,0
韶关,1,9,-,0
揭阳,3,5,-,0
汕尾,0,5,-,0
潮州,0,5,-,0
河源,0,4,-,0
待确认,0,2,-,-
信阳,40,232,2,0
郑州,31,126,-,0
南阳,24,129,3,0
驻马店,2,137,-,0
商丘,7,81,3,0
周口,20,56,-,0
平顶山,4,53,1,0
新乡,3,51,3,0
安阳,9,44,-,0
许昌,3,36,-,0
漯河,7,28,-,0
焦作,2,29,1,0
洛阳,4,26,1,0
开封,8,18,-,0
鹤壁,2,17,-,0
濮阳,6,11,-,0
三门峡,0,6,1,0
济源,2,3,-,0
待确认,0,29,5,-
温州,98,405,1,0
杭州,18,151,-,0
宁波,19,138,-,0
台州,40,106,-,0
金华,5,50,-,0
嘉兴,11,34,-,0
绍兴,6,36,-,0
省十里丰监狱,31,5,-,0
丽水,0,17,-,0
衢州,3,11,-,0
湖州,1,9,-,0
舟山,3,7,-,0
待确认,0,6,-,-
长沙,68,172,2,0
岳阳,42,113,1,0
邵阳,6,95,1,0
常德,10,72,-,0
株洲,18,62,-,0
娄底,16,60,-,0
益阳,1,58,-,0
衡阳,4,44,-,0
永州,2,42,-,0
怀化,0,40,-,0
郴州,5,34,-,0
湘潭,3,33,-,0
湘西州,0,8,-,0
张家界,0,5,-,0
合肥,35,138,1,0
蚌埠,19,136,5,0
阜阳,27,128,-,0
亳州,9,99,-,0
安庆,3,80,-,0
六安,16,53,-,0
宿州,8,33,-,0
马鞍山,8,30,-,0
芜湖,4,30,-,1
铜陵,1,28,-,0
淮北,5,22,-,0
淮南,6,21,-,0
池州,4,13,-,0
滁州,3,10,-,0
黄山,3,6,-,0
宣城,2,4,-,0
南昌,32,198,-,1
新余,12,118,-,0
上饶,14,109,-,0
九江,27,91,-,0
宜春,10,96,-,0
赣州,12,63,1,0
抚州,11,61,-,0
萍乡,10,23,-,0
吉安,7,15,-,0
鹰潭,6,12,-,0
景德镇,3,3,-,0
赣江新区,0,1,-,0
济宁,213,45,-,0
青岛,14,45,1,0
临沂,4,45,-,0
济南,22,25,-,0
烟台,17,30,-,0
潍坊,17,27,-,0
威海,10,28,-,0
聊城,5,33,-,0
德州,19,16,2,0
泰安,7,26,2,0
淄博,8,21,1,0
枣庄,2,22,-,0
菏泽,1,17,-,0
日照,4,12,-,0
滨州,3,12,-,0
南京,35,58,-,0
苏州,25,62,-,0
徐州,8,71,-,0
淮安,11,55,-,0
无锡,7,48,-,0
常州,3,48,-,0
连云港,13,35,-,0
南通,3,37,-,0
泰州,0,37,-,0
盐城,2,25,-,0
扬州,6,17,-,0
宿迁,1,12,-,0
镇江,2,10,-,0
万州区,33,81,4,0
江北区,11,17,-,0
云阳县,4,21,-,0
綦江区,10,13,-,0
合川区,8,15,-,0
奉节县,5,17,-,0
长寿区,8,14,-,0
开州区,1,19,1,0
忠县,3,18,-,0
九龙坡区,7,13,1,0
垫江县,8,12,-,0
渝中区,3,17,-,0
潼南区,11,7,-,0
两江新区,4,13,-,0
渝北区,4,13,-,0
南岸区,7,8,-,0
石柱县,3,12,-,0
大足区,4,10,-,0
巫溪县,2,12,-,0
丰都县,5,5,-,0
巫山县,2,8,-,0
铜梁区,6,4,-,0
璧山区,1,8,-,0
荣昌区,3,6,-,0
沙坪坝区,6,3,-,0
大渡口区,1,6,-,0
巴南区,3,3,-,0
永川区,0,5,-,0
涪陵区,3,2,-,0
梁平区,0,4,-,0
江津区,0,4,-,0
高新区,0,4,-,0
城口县,0,2,-,0
黔江区,0,2,-,0
彭水县,1,1,-,0
武隆县,0,1,-,0
秀山县,0,1,-,0
酉阳县,0,1,-,0
万盛经开区,1,0,-,0
成都,55,85,3,0
甘孜州,55,23,-,4
达州,16,26,-,0
南充,16,23,-,0
广安,9,21,-,0
巴中,13,11,-,0
泸州,4,20,-,0
内江,4,18,-,0
绵阳,7,15,-,0
德阳,8,10,-,0
遂宁,2,15,-,0
攀枝花,0,16,-,0
凉山州,3,10,-,0
宜宾,2,10,-,0
自贡,0,9,-,0
眉山,2,6,-,0
雅安,1,6,-,0
广元,0,6,-,0
资阳,2,2,-,0
乐山,0,3,-,0
