name,confirmed,recovered,death,new
湖北,36792,26440,2682,318
广东,405,936,7,1
河南,140,1112,20,0
浙江,229,975,1,0
湖南,175,838,4,0
安徽,153,831,6,1
江西,144,790,1,1
山东,346,404,6,0
江苏,116,515,-,0
重庆,168,402,6,0
四川,199,336,3,4
黑龙江,184,283,13,0
北京,146,257,7,0
上海,55,279,3,0
河北,36,276,6,1
福建,56,239,1,0
广西,82,168,2,0
陕西,47,197,1,0
云南,16,156,2,0
海南,31,132,5,0
贵州,32,112,2,0
天津,31,102,3,1
山西,25,108,-,0
辽宁,27,93,1,0
香港,62,30,2,2
吉林,19,73,1,0
甘肃,7,82,2,0
新疆,21,52,3,0
内蒙古,30,45,0,0
宁夏,4,68,-,0
台湾,24,9,1,0
青海,0,18,0,0
澳门,2,8,-,0
西藏,0,1,-,0
