name,confirmed,recovered,death,new
湖北,39738,23217,2641,409
广东,465,875,7,0
河南,189,1063,20,1
浙江,320,884,1,0
湖南,211,802,4,1
安徽,198,785,6,0
江西,179,754,1,0
山东,368,382,6,0
江苏,137,494,-,0
重庆,186,384,6,0
四川,218,313,3,3
黑龙江,204,263,13,0
北京,157,248,5,10
上海,58,276,3,1
河北,47,264,6,5
福建,69,226,1,2
广西,90,160,2,0
陕西,50,194,1,0
云南,22,150,2,0
海南,34,129,5,0
贵州,32,112,2,0
天津,36,96,3,0
山西,29,104,-,0
辽宁,28,92,1,0
吉林,27,65,1,0
香港,65,24,2,6
甘肃,8,81,2,0
新疆,40,34,2,0
内蒙古,36,39,0,0
宁夏,4,68,-,1
台湾,26,5,1,1
青海,0,18,0,0
澳门,3,7,-,0
西藏,0,1,-,0
