name,confirmed,recovered,death,new
武汉,32392,13328,2104,383
孝感,1781,1622,113,15
黄冈,842,1952,110,0
荆州,667,867,45,2
鄂州,734,613,42,2
随州,577,693,37,1
襄阳,443,701,31,0
黄石,356,624,33,2
宜昌,503,396,30,2
荆门,378,508,37,1
咸宁,218,607,11,0
十堰,296,372,3,0
仙桃,200,356,19,0
天门,176,307,13,0
恩施,83,164,4,0
潜江,91,97,9,1
神农架林区,1,10,0,0
深圳,143,271,3,0
广州,115,230,1,0
珠海,36,61,1,0
东莞,53,43,1,0
佛山,48,36,-,0
中山,11,55,-,0
惠州,10,52,-,0
汕头,3,22,-,0
江门,12,11,-,0
湛江,8,14,-,0
肇庆,5,13,1,0
梅州,4,12,-,0
茂名,5,9,-,0
阳江,4,10,-,0
清远,0,12,-,0
韶关,3,7,-,0
揭阳,3,5,-,0
汕尾,1,4,-,0
潮州,1,4,-,0
河源,0,4,-,0
信阳,51,221,2,0
郑州,34,123,-,0
南阳,24,129,3,1
驻马店,11,128,-,0
商丘,7,81,3,0
周口,20,56,-,0
平顶山,8,49,1,0
新乡,5,49,3,0
安阳,9,44,-,0
许昌,6,33,-,0
漯河,8,27,-,0
焦作,2,29,1,0
洛阳,6,24,1,0
开封,9,17,-,0
鹤壁,4,15,-,0
濮阳,7,10,-,0
三门峡,0,6,1,0
济源,2,3,-,0
待确认,0,19,5,-
温州,149,354,1,0
杭州,23,146,-,0
宁波,23,134,-,0
台州,45,101,-,0
金华,9,46,-,0
嘉兴,13,32,-,0
绍兴,11,31,-,0
省十里丰监狱,33,3,-,0
丽水,3,14,-,0
衢州,3,11,-,0
湖州,3,7,-,0
舟山,4,6,-,0
长沙,76,164,2,0
岳阳,44,111,1,0
邵阳,11,90,1,0
常德,13,69,-,0
株洲,24,56,-,0
娄底,18,58,-,0
益阳,1,58,-,0
衡阳,10,38,-,0
永州,2,42,-,1
怀化,0,40,-,0
郴州,5,34,-,0
湘潭,7,29,-,0
湘西州,0,8,-,0
张家界,0,5,-,0
合肥,38,135,1,0
蚌埠,28,127,5,0
阜阳,43,112,-,0
亳州,9,99,-,0
安庆,4,79,-,0
六安,21,48,-,0
宿州,11,30,-,0
马鞍山,13,25,-,0
芜湖,3,30,-,0
铜陵,3,26,-,0
淮北,5,22,-,0
淮南,7,20,-,0
池州,4,13,-,0
滁州,4,9,-,0
黄山,3,6,-,0
宣城,2,4,-,0
南昌,36,193,-,0
新余,15,115,-,0
上饶,22,101,-,0
九江,38,80,-,0
宜春,11,95,-,0
赣州,14,61,1,0
抚州,11,61,-,0
萍乡,13,20,-,0
吉安,9,13,-,0
鹰潭,7,11,-,0
景德镇,3,3,-,0
赣江新区,0,1,-,0
济宁,215,43,-,0
青岛,17,42,1,0
临沂,4,45,-,0
济南,22,25,-,0
烟台,21,26,-,0
潍坊,20,24,-,0
威海,11,27,-,0
聊城,7,31,-,0
德州,20,15,2,0
泰安,10,23,2,0
淄博,11,18,1,0
枣庄,2,22,-,0
菏泽,1,17,-,0
日照,4,12,-,0
滨州,3,12,-,0
南京,35,58,-,0
苏州,28,59,-,0
徐州,10,69,-,0
淮安,16,50,-,0
无锡,10,45,-,0
常州,3,48,-,0
连云港,15,33,-,0
南通,3,37,-,0
泰州,5,32,-,0
盐城,2,25,-,0
扬州,6,17,-,0
宿迁,2,11,-,0
镇江,2,10,-,0
万州区,35,79,4,0
江北区,12,16,-,0
云阳县,4,21,-,0
綦江区,10,13,-,0
合川区,8,15,-,0
奉节县,9,13,-,0
长寿区,8,14,-,0
开州区,2,18,1,0
忠县,3,18,-,0
九龙坡区,8,12,1,0
垫江县,10,10,-,0
渝中区,4,16,-,0
潼南区,11,7,-,0
两江新区,5,12,-,0
渝北区,6,11,-,0
南岸区,7,8,-,0
石柱县,4,11,-,0
大足区,4,10,-,0
巫溪县,2,12,-,0
丰都县,6,4,-,0
巫山县,2,8,-,0
铜梁区,6,4,-,0
璧山区,1,8,-,0
荣昌区,3,6,-,0
沙坪坝区,6,3,-,0
大渡口区,1,6,-,0
巴南区,3,3,-,0
永川区,0,5,-,0
涪陵区,3,2,-,0
梁平区,0,4,-,0
江津区,0,4,-,0
高新区,0,4,-,0
城口县,0,2,-,0
黔江区,0,2,-,0
彭水县,1,1,-,0
武隆县,0,1,-,0
秀山县,0,1,-,0
酉阳县,1,0,-,0
万盛经开区,1,0,-,0
成都,57,83,3,0
甘孜州,56,18,-,3
达州,22,20,-,0
南充,16,23,-,0
广安,10,20,-,0
巴中,13,11,-,0
泸州,7,17,-,0
内江,7,15,-,0
绵阳,8,14,-,0
德阳,9,9,-,0
遂宁,2,15,-,0
攀枝花,0,16,-,0
凉山州,4,9,-,0
宜宾,2,10,-,0
自贡,0,9,-,0
眉山,2,6,-,0
雅安,1,6,-,0
广元,0,6,-,0
资阳,2,2,-,0
乐山,0,3,-,0
阿坝州,0,1,-,0
哈尔滨,139,55,4,0
双鸭山,20,29,3,0
绥化,8,35,4,0
鸡西,19,27,-,0
齐齐哈尔,14,28,1,0
大庆,11,14,1,0
七台河,5,12,-,0
佳木斯,0,15,-,0
牡丹江,5,9,-,0
黑河,5,9,-,0
鹤岗,1,4,-,0
大兴安岭地区,0,2,-,0
伊春,0,1,-,0
待确认,0,23,-,-
朝阳区,70,-,-,9
海淀区,62,-,-,0
西城区,53,-,-,0
丰台区,41,-,-,1
大兴区,23,16,-,0
昌平区,26,3,-,0
通州区,18,1,-,0
房山区,16,0,-,0
石景山区,9,5,-,0
东城区,12,1,-,0
顺义区,10,-,-,0
怀柔区,4,3,-,0
密云区,7,-,-,0
门头沟区,3,-,-,0
延庆区,1,-,-,0
外地来京人员,23,2,-,0
待确认,0,217,5,-
浦东新区,10,50,-,0
宝山区,8,13,-,0
闵行区,2,17,-,0
徐汇区,3,15,-,0
静安区,3,13,-,0
松江区,3,11,-,0
长宁区,0,13,-,0
普陀区,2,9,-,0
嘉定区,3,6,-,0
杨浦区,2,7,-,0
奉贤区,1,8,-,0
虹口区,1,6,-,0
黄浦区,2,4,-,0
青浦区,1,5,-,0
金山区,1,3,-,1
崇明区,1,3,-,0
外地来沪人员,22,89,-,0
待确认,0,4,3,0
唐山,21,36,1,0
沧州,10,35,3,0
张家口,8,32,-,5
保定,0,32,-,0
邯郸,2,30,-,0
廊坊,0,30,-,0
石家庄,5,24,-,0
邢台,0,22,1,0
秦皇岛,1,8,1,0
衡水,0,8,-,0
承德,0,7,-,0
福州,6,65,1,1
莆田,20,36,-,1
泉州,24,23,-,0
厦门,5,30,-,0
宁德,3,23,-,0
南平,7,13,-,0
漳州,5,15,-,0
三明,6,8,-,0
龙岩,0,6,-,0
待确认,0,7,-,-
南宁,13,42,-,0
北海,19,24,1,0
桂林,8,24,-,0
河池,22,5,1,0
柳州,9,15,-,0
防城港,11,8,-,0
玉林,4,7,-,0
来宾,11,0,-,0
钦州,1,7,-,0
贵港,4,4,-,0
梧州,0,5,-,0
贺州,0,4,-,0
百色,0,3,-,0
待确认,0,12,-,-
西安,24,95,1,0
安康,6,20,-,0
汉中,9,17,-,0
咸阳,2,15,-,0
渭南,6,9,-,0
宝鸡,1,12,-,0
延安,0,8,-,0
铜川,2,6,-,0
商洛,1,6,-,0
榆林,0,3,-,0
韩城,0,1,-,0
杨凌示范区,0,1,-,0
待确认,0,1,-,-
昆明,5,48,-,0
昭通,10,15,-,0
西双版纳傣族自治州,0,14,1,0
玉溪,1,12,1,0
大理州,1,12,-,0
曲靖,1,12,-,0
红河州,2,7,-,0
保山,1,8,-,0
丽江,0,7,-,0
德宏州,1,4,-,0
普洱,0,4,-,0
楚雄州,0,4,-,0
文山,0,2,-,0
临沧,0,1,-,0
三亚,10,43,1,0
海口,10,29,-,0
儋州,2,12,1,0
万宁,2,11,-,0
澄迈,2,6,1,0
昌江黎族自治县,4,3,-,0
琼海,1,4,1,0
临高,0,6,-,0
陵水黎族自治县,0,4,-,0
东方,1,2,-,0
定安,0,2,1,0
文昌,0,3,-,0
保亭黎族苗族自治县,2,1,-,0
乐东黎族自治县,0,2,-,0
琼中黎族苗族自治县,0,1,-,0
贵阳,8,27,1,0
遵义,13,19,-,0
毕节地区,8,15,-,0
黔南州,2,15,-,0
六盘水,1,8,1,0
黔东南州,0,10,-,0
铜仁地区,0,10,-,0
黔西南州,0,4,-,0
安顺,0,4,-,0
宝坻区,20,39,1,0
河东区,4,11,-,0
河北区,2,10,-,0
和平区,1,5,-,0
南开区,4,2,-,0
北辰区,3,3,-,0
西青区,0,4,-,0
河西区,0,4,-,0
宁河区,3,1,-,0
东丽区,0,4,-,0
滨海新区,0,3,-,0
红桥区,0,2,-,0
武清区,0,2,-,0
津南区,0,1,-,0
外地来津人员,1,5,-,0
待确认,0,-,2,-
晋中,12,25,-,0
太原,4,16,-,0
运城,1,18,-,0
大同,4,8,-,0
晋城,3,7,-,0
朔州,2,6,-,0
长治,1,7,-,0
忻州,2,5,-,0
吕梁,0,6,-,0
阳泉,0,4,-,0
临汾,0,2,-,0
沈阳,2,26,-,0
大连,7,12,-,0
葫芦岛,6,5,1,0
锦州,3,9,-,0
盘锦,4,7,-,0
阜新,2,6,-,0
铁岭,5,2,-,0
丹东,1,6,-,0
朝阳,3,3,-,0
鞍山,4,0,-,0
辽阳,0,3,-,0
本溪,0,3,-,0
营口,0,1,-,0
待确认,0,9,-,-
长春,12,33,-,0
四平,3,11,1,0
辽源,5,2,-,0
通化,4,2,-,0
公主岭,2,4,-,0
延边,0,5,-,0
吉林市,0,5,-,0
松原,0,2,-,0
白城,1,0,-,0
梅河口,0,1,-,0
兰州,2,32,2,0
天水,0,12,-,0
平凉,3,6,-,0
定西,1,8,-,0
甘南州,0,8,-,0
陇南,0,4,-,0
白银,1,3,-,0
临夏州,0,3,-,0
庆阳,1,2,-,0
张掖,0,2,-,0
金昌,0,1,-,0
乌鲁木齐,10,13,-,0
伊犁州,10,8,-,0
第四师,9,1,-,0
第八师,2,1,1,0
第九师,2,1,1,0
昌吉州,1,3,-,0
吐鲁番地区,2,1,-,0
巴音郭楞蒙古自治州,0,3,-,0
第十二师,2,1,-,0
第六师,2,0,-,0
第七师,0,1,-,0
阿克苏地区,0,1,-,0
包头,6,5,-,0
鄂尔多斯,2,9,-,0
锡林郭勒盟,7,2,-,0
赤峰,4,5,-,0
巴彦淖尔,2,6,-,0
呼伦贝尔,3,4,-,0
呼和浩特,5,2,-,0
通辽,5,2,-,0
乌兰察布,1,2,-,0
乌海,0,2,-,0
兴安盟,1,0,-,0
银川,2,31,-,0
吴忠,1,27,-,0
固原,0,5,-,0
中卫,1,3,-,1
宁东管委会,0,1,-,0
石嘴山,0,1,-,0
西宁,0,15,-,0
海北州,0,3,-,0
拉萨,0,1,-,0
