name,confirmed,recovered,death,new
武汉,44412,4941,1497,1660
孝感,3344,572,82,24
黄冈,2844,1059,85,16
荆州,1541,409,38,4
鄂州,1343,301,37,4
随州,1280,254,26,2
襄阳,1165,230,22,2
黄石,983,284,25,0
宜昌,907,208,25,3
荆门,901,181,33,1
咸宁,832,226,10,0
十堰,638,164,2,12
仙桃,562,149,19,18
天门,486,73,11,0
恩施,249,96,3,0
潜江,185,40,6,0
神农架林区,10,10,-,0
深圳,416,182,2,-
广州,339,148,-,-
珠海,98,45,1,-
东莞,91,24,1,-
佛山,84,33,-,-
中山,66,40,-,-
惠州,62,36,-,3
汕头,25,18,-,-
江门,23,9,-,-
湛江,22,11,-,-
肇庆,18,8,1,-
梅州,16,10,-,-
茂名,14,6,-,-
阳江,13,9,-,-
清远,12,9,-,-
韶关,10,5,-,-
揭阳,8,4,-,-
汕尾,5,3,-,-
潮州,5,4,-,-
河源,4,1,-,-
待确认,-,2,-,-
信阳,268,86,2,2
郑州,156,76,-,2
南阳,155,65,2,0
驻马店,139,83,-,0
商丘,91,46,3,0
周口,76,31,-,0
平顶山,58,31,1,0
新乡,57,21,3,0
安阳,52,26,-,0
许昌,39,16,-,1
漯河,34,12,-,0
焦作,32,7,1,0
洛阳,31,12,1,0
开封,26,11,-,0
鹤壁,19,6,-,0
濮阳,17,7,-,0
三门峡,7,5,-,0
济源,5,2,-,0
待确认,-,19,6,-
温州,504,228,-,-
杭州,169,98,-,-
宁波,156,89,-,-
台州,146,74,-,-
金华,55,31,-,-
嘉兴,44,17,-,1
绍兴,42,20,-,-
衢州,21,10,-,-
丽水,17,11,-,-
湖州,10,5,-,-
舟山,10,5,-,-
待确认,-,10,-,-
长沙,241,98,2,-
岳阳,155,64,1,-
邵阳,102,70,1,1
常德,79,49,-,-
株洲,78,37,-,-
娄底,76,47,-,-
益阳,59,35,-,-
衡阳,48,29,-,-
永州,43,30,-,-
怀化,40,37,-,-
郴州,39,27,-,-
湘潭,35,17,-,-
湘西州,8,7,-,-
张家界,5,5,-,-
合肥,173,71,1,-
蚌埠,159,30,5,1
阜阳,155,64,-,1
亳州,108,47,-,-
安庆,83,44,-,-
六安,69,30,-,1
宿州,41,20,-,-
马鞍山,37,15,-,1
芜湖,33,17,-,-
铜陵,29,12,-,-
淮北,27,13,-,-
淮南,27,11,-,-
池州,17,6,-,-
滁州,13,7,-,-
黄山,9,6,-,-
宣城,6,4,-,-
南昌,230,114,-,1
新余,129,58,-,-
上饶,123,47,-,-
九江,118,33,-,-
宜春,106,33,-,-
赣州,76,24,1,-
抚州,72,29,-,-
萍乡,33,7,-,-
吉安,22,11,-,-
鹰潭,18,3,-,-
景德镇,6,3,-,-
赣江新区,1,-,-,-
南京,93,35,-,1
苏州,87,33,-,0
徐州,79,46,-,0
淮安,66,32,-,0
无锡,55,27,-,0
常州,51,27,-,1
连云港,48,17,-,0
南通,40,23,-,0
泰州,37,22,-,0
盐城,27,18,-,0
扬州,23,11,-,0
宿迁,13,7,-,0
镇江,12,6,-,0
万州区,110,41,3,2
江北区,28,8,-,0
云阳县,25,17,-,0
綦江区,23,10,-,0
合川区,23,8,-,0
长寿区,21,10,-,0
奉节县,20,7,-,0
开州区,20,13,1,0
忠县,20,12,-,0
九龙坡区,20,10,1,0
垫江县,20,7,-,0
渝中区,20,14,-,0
潼南区,18,3,-,0
两江新区,17,7,-,0
渝北区,16,8,-,0
南岸区,15,3,-,0
大足区,14,8,-,0
石柱县,14,8,-,0
巫溪县,13,9,-,0
丰都县,10,3,-,0
巫山县,10,6,-,0
璧山区,9,7,-,0
铜梁区,9,4,-,0
荣昌区,9,5,-,0
沙坪坝区,8,1,-,0
大渡口区,7,5,-,0
巴南区,6,2,-,0
永川区,5,2,-,0
梁平区,4,4,-,0
江津区,4,3,-,0
高新区,4,1,-,0
涪陵区,3,2,-,0
城口县,2,2,-,0
黔江区,2,2,-,0
彭水县,2,0,-,0
武隆县,1,1,-,0
秀山县,1,1,-,0
酉阳县,1,0,-,0
万盛经开区,1,0,-,0
