name,confirmed,recovered,death,new
湖北,61682,9197,1921,1693
广东,1331,607,5,3
河南,1262,562,19,5
浙江,1174,598,-,1
湖南,1008,552,4,1
安徽,986,397,6,4
江西,934,362,1,1
江苏,631,304,-,2
重庆,555,255,5,2
山东,544,225,3,1
四川,514,185,3,6
黑龙江,470,120,12,6
北京,393,145,4,6
上海,333,186,2,0
河北,306,140,4,4
福建,293,119,-,1
广西,244,86,2,2
陕西,242,103,-,2
云南,173,60,1,1
海南,163,84,4,0
贵州,146,69,2,0
山西,131,61,-,1
天津,130,54,3,3
辽宁,121,55,1,0
甘肃,91,63,2,0
吉林,90,37,1,1
新疆,76,20,1,0
内蒙古,75,9,-,2
宁夏,71,42,-,1
香港,63,4,2,0
台湾,22,2,1,0
青海,18,16,-,0
澳门,10,5,-,0
西藏,1,1,-,0
