name,confirmed,recovered,death
湖北,54406,4774,1457
河南,1212,356,13
浙江,1162,409,-
湖南,1001,389,2
安徽,950,198,6
江西,913,210,1
江苏,604,160,-
重庆,537,152,5
山东,530,139,2
四川,470,115,1
黑龙江,425,48,11
北京,372,79,3
上海,326,90,1
河北,291,86,3
福建,285,66,0
广西,235,40,2
陕西,230,53,-
海南,162,38,4
云南,162,35,-
贵州,143,33,1
广东,129,386,2
山西,127,38,-
天津,120,32,3
辽宁,119,29,1
甘肃,90,44,2
吉林,88,25,1
新疆,70,6,1
宁夏,70,27,-
内蒙古,65,6,-
香港,56,1,1
青海,18,11,0
台湾,18,1,-
澳门,10,3,-
西藏,1,1,-
