name,confirmed,recovered,death
永川区,5,2,-
梁平区,4,2,-
江津区,4,2,-
高新区,4,1,-
涪陵区,3,1,-
城口县,2,2,-
黔江区,2,2,-
彭水县,2,-,-
武隆县,1,-,-
秀山县,1,1,-
酉阳县,1,-,-
万盛经开区,1,-,-
青岛,56,19,1
济宁,49,15,-
济南,47,11,-
临沂,47,25,-
烟台,46,12,-
潍坊,42,7,-
威海,38,9,-
聊城,38,3,-
德州,36,7,1
泰安,32,4,-
淄博,28,4,-
枣庄,24,4,-
菏泽,18,9,-
日照,15,2,-
滨州,14,8,-
成都,139,42,1
甘孜州,44,2,-
达州,36,5,-
南充,35,6,-
广安,30,8,-
巴中,24,1,-
内江,22,5,-
绵阳,22,5,-
泸州,19,2,-
德阳,17,-,-
攀枝花,13,9,-
宜宾,11,6,-
凉山州,11,3,-
遂宁,10,4,-
自贡,9,2,-
眉山,8,2,-
雅安,7,2,-
广元,6,2,-
乐山,3,2,-
资阳,3,2,-
阿坝州,1,-,-
待确认,-,5,-
哈尔滨,167,19,3
双鸭山,48,1,2
绥化,46,7,4
鸡西,45,1,-
齐齐哈尔,36,8,1
大庆,19,1,1
七台河,16,1,-
佳木斯,15,7,-
黑河,13,-,-
牡丹江,12,1,-
鹤岗,5,2,-
大兴安岭地区,2,-,-
伊春,1,-,-
海淀区,58,-,-
朝阳区,58,-,-
西城区,46,-,-
大兴区,39,2,-
丰台区,36,-,-
昌平区,24,-,-
通州区,17,-,-
石景山区,14,1,-
房山区,14,-,-
东城区,12,-,-
顺义区,10,-,-
怀柔区,7,-,-
密云区,7,-,-
门头沟区,3,-,-
延庆区,1,-,-
外地来京人员,26,2,-
待确认,-,74,3
浦东新区,56,23,-
宝山区,20,2,-
闵行区,18,5,-
徐汇区,18,4,-
静安区,16,5,-
松江区,14,1,-
长宁区,13,3,-
普陀区,11,1,-
嘉定区,9,1,-
杨浦区,9,1,-
奉贤区,9,1,-
虹口区,7,2,-
黄浦区,6,1,-
青浦区,5,3,-
金山区,3,2,-
崇明区,3,-,-
外地来沪人员,109,35,-
待确认,-,-,1
沧州,46,14,2
唐山,46,4,-
张家口,33,7,-
保定,32,17,-
邯郸,31,9,-
廊坊,29,12,-
石家庄,27,7,-
邢台,22,8,1
秦皇岛,10,2,-
衡水,8,4,-
承德,7,2,-
福州,66,17,-
莆田,55,8,-
泉州,46,13,-
厦门,34,4,-
宁德,25,5,-
南平,20,3,-
漳州,20,3,-
三明,13,1,-
龙岩,6,1,-
待确认,-,11,-
南宁,49,10,-
北海,43,6,1
桂林,31,5,-
柳州,24,4,-
河池,22,-,1
防城港,17,1,-
来宾,11,-,-
玉林,10,1,-
钦州,8,1,-
贵港,8,2,-
梧州,5,5,-
贺州,4,-,-
百色,3,-,-
待确认,-,5,-
西安,114,20,-
安康,23,5,-
汉中,21,1,-
咸阳,17,4,-
渭南,14,-,-
宝鸡,13,7,-
延安,8,6,-
铜川,8,4,-
商洛,7,1,-
榆林,3,1,-
韩城,1,-,-
杨凌示范区,1,-,-
待确认,-,4,-
三亚,54,15,1
海口,33,9,-
儋州,15,2,-
万宁,13,3,-
澄迈,9,1,1
昌江黎族自治县,7,-,-
琼海,6,1,1
临高,6,3,-
陵水黎族自治县,4,-,-
东方,3,1,-
定安,3,1,1
文昌,3,1,-
保亭黎族苗族自治县,3,-,-
乐东黎族自治县,2,-,-
琼中黎族苗族自治县,1,1,-
昆明,48,7,-
昭通,19,2,-
西双版纳傣族自治州,15,2,-
玉溪,14,3,-
大理州,13,3,-
曲靖,13,1,-
保山,9,-,-
红河州,8,3,-
丽江,7,2,-
德宏州,5,-,-
普洱,4,-,-
楚雄州,4,-,-
文山,2,-,-
临沧,1,-,-
待确认,-,12,-
贵阳,34,4,-
遵义,31,3,-
毕节地区,23,5,-
黔南州,17,5,-
六盘水,10,3,1
黔东南州,10,3,-
铜仁地区,10,6,-
黔西南州,4,4,-
安顺,4,-,-
深圳,406,104,-
广州,335,93,-
珠海,95,27,-
佛山,84,17,-
东莞,81,7,1
中山,65,26,-
惠州,58,18,-
汕头,25,9,-
湛江,22,11,-
江门,22,4,-
肇庆,17,7,1
梅州,15,7,-
茂名,13,3,-
阳江,13,5,-
清远,12,5,-
韶关,10,3,-
揭阳,8,3,-
汕尾,5,1,-
潮州,5,-,-
河源,3,1,-
待确认,-,35,-
晋中,35,11,-
运城,19,10,-
太原,19,3,-
大同,12,4,-
长治,8,-,-
晋城,8,2,-
朔州,7,2,-
忻州,7,-,-
吕梁,6,5,-
阳泉,4,-,-
临汾,2,1,-
宝坻区,46,7,1
河东区,14,5,-
河北区,12,7,-
和平区,6,2,-
南开区,6,1,-
北辰区,6,1,-
西青区,4,2,-
河西区,4,2,-
宁河区,4,-,-
东丽区,4,1,-
滨海新区,3,-,-
红桥区,2,2,-
武清区,2,1,-
津南区,1,-,-
外地来津人员,6,1,-
待确认,-,-,2
沈阳,28,9,-
大连,18,4,-
锦州,12,6,-
葫芦岛,11,-,1
盘锦,11,-,-
阜新,8,-,-
铁岭,7,1,-
丹东,7,4,-
朝阳,6,2,-
鞍山,4,-,-
辽阳,3,1,-
本溪,3,1,-
营口,1,1,-
兰州,35,17,2
天水,12,9,-
平凉,9,1,-
定西,9,4,-
甘南州,8,2,-
陇南,4,3,-
白银,4,-,-
临夏州,3,3,-
庆阳,3,2,-
张掖,2,2,-
金昌,1,1,-
长春,44,13,-
四平,14,2,1
辽源,7,1,-
公主岭,6,2,-
延边,5,2,-
吉林市,5,3,-
通化,3,-,-
松原,2,1,-
白城,1,-,-
梅河口,1,1,-
乌鲁木齐,23,2,-
伊犁州,16,1,-
第四师,10,-,-
第九师,4,-,-
昌吉州,4,-,-
第八师,3,-,1
巴音郭楞蒙古自治州,3,-,-
吐鲁番地区,2,1,-
第六师,2,-,-
第七师,1,1,-
阿克苏地区,1,1,-
第十二师,1,-,-
银川,33,15,-
吴忠,27,6,-
固原,5,2,-
中卫,3,2,-
宁东管委会,1,1,-
石嘴山,1,1,-
包头,11,-,-
鄂尔多斯,11,2,-
呼和浩特,7,-,-
赤峰,7,2,-
呼伦贝尔,6,1,-
巴彦淖尔,6,-,-
通辽,6,-,-
锡林郭勒盟,5,1,-
乌兰察布,3,-,-
乌海,2,-,-
兴安盟,1,-,-
西宁,15,9,-
海北州,3,0,-
待确认,-,2,-
拉萨,1,1,-
