name,confirmed,recovered,death,new
武汉,42752,4219,1381,1600
孝感,3320,523,75,41
黄冈,2828,941,84,-3
荆州,1537,339,38,36
鄂州,1339,265,36,65
随州,1278,198,25,11
襄阳,1163,182,21,8
黄石,985,215,20,2
宜昌,904,186,24,9
荆门,900,143,33,-15
咸宁,868,204,10,7
十堰,626,144,2,14
仙桃,544,121,19,13
天门,500,55,11,15
恩施,250,90,4,1
潜江,185,27,6,3
神农架林区,10,10,-,0
深圳,415,152,2,-
广州,339,132,-,-
珠海,97,41,-,-
东莞,89,19,1,-
佛山,84,23,-,-
中山,66,39,-,-
惠州,58,34,-,-
汕头,25,14,-,-
江门,23,5,-,-
湛江,22,11,-,-
肇庆,17,8,1,-
梅州,16,8,-,-
茂名,14,3,-,-
阳江,13,9,-,-
清远,12,7,-,-
韶关,10,4,-,-
揭阳,8,4,-,-
汕尾,5,3,-,-
潮州,5,1,-,-
河源,4,1,-,-
信阳,262,84,2,-
南阳,154,65,2,-
郑州,151,73,-,-
驻马店,138,72,-,-
商丘,91,46,2,-
周口,75,31,-,-
平顶山,58,24,1,-
新乡,57,21,2,-
安阳,51,24,-,-
许昌,38,11,-,-
漯河,34,12,-,-
焦作,32,7,1,-
洛阳,31,11,-,-
开封,26,8,-,-
鹤壁,19,5,-,-
濮阳,17,4,-,-
三门峡,7,4,-,-
济源,5,-,-,-
待确认,-,-,6,-
温州,503,194,-,-
杭州,168,81,-,-
宁波,156,62,-,-
台州,146,64,-,-
金华,55,26,-,-
嘉兴,43,13,-,-
绍兴,42,19,-,-
衢州,21,10,-,-
丽水,17,11,-,-
湖州,10,5,-,-
舟山,10,5,-,-
待确认,-,12,-,-
长沙,241,92,1,-
岳阳,154,63,1,-
邵阳,101,67,1,-
常德,79,34,-,-
株洲,78,35,-,-
娄底,76,35,-,-
益阳,59,30,-,-
衡阳,48,28,-,-
永州,43,28,-,-
怀化,40,32,-,-
郴州,39,26,-,-
湘潭,35,15,-,-
湘西州,8,6,-,-
张家界,5,5,-,-
合肥,171,49,1,-
蚌埠,158,13,5,-
阜阳,153,41,-,-
亳州,108,35,-,-
安庆,83,34,-,-
六安,68,21,-,-
宿州,40,14,-,-
马鞍山,36,12,-,-
芜湖,31,13,-,-
铜陵,28,11,-,-
淮北,27,10,-,-
淮南,25,8,-,-
池州,17,6,-,-
滁州,13,7,-,-
黄山,9,1,-,-
宣城,6,4,-,-
南昌,228,89,-,-
新余,129,44,-,-
上饶,123,35,-,-
九江,117,22,-,-
宜春,106,24,-,-
赣州,76,18,1,-
抚州,72,22,-,-
萍乡,33,5,-,-
吉安,21,10,-,-
鹰潭,18,3,-,-
景德镇,6,3,-,-
赣江新区,1,-,-,-
南京,92,32,-,-
苏州,86,31,-,-
徐州,79,42,-,-
淮安,65,28,-,-
无锡,55,19,-,-
常州,49,20,-,-
连云港,48,13,-,-
南通,40,17,-,-
泰州,37,20,-,-
盐城,27,14,-,-
扬州,23,9,-,-
宿迁,13,7,-,-
镇江,12,5,-,-
万州区,108,36,3,-
江北区,28,5,-,-
云阳县,25,16,-,1
綦江区,23,7,-,-
合川区,23,7,-,-
长寿区,21,9,-,-
奉节县,20,6,-,-
开州区,20,13,1,-
忠县,20,11,-,-
九龙坡区,20,10,1,-
垫江县,20,6,-,-
渝中区,20,12,-,-
潼南区,18,2,-,-
两江新区,17,7,-,-
渝北区,16,7,-,1
