name,confirmed,recovered,death,new
湖北,59989,7862,1789,1807
广东,1322,518,4,待公布
河南,1246,502,16,待公布
浙江,1171,502,-,待公布
湖南,1006,496,3,待公布
安徽,973,279,6,待公布
江西,930,275,1,待公布
江苏,626,257,-,待公布
重庆,553,225,5,2
山东,541,191,2,待公布
四川,495,152,3,待公布
黑龙江,464,85,11,7
北京,381,123,4,待公布
上海,333,161,1,2
河北,302,123,4,1
福建,292,91,-,2
广西,242,58,2,4
陕西,240,77,-,待公布
云南,171,45,-,待公布
海南,163,59,4,待公布
贵州,146,57,1,待公布
山西,130,53,-,1
天津,125,46,3,1
辽宁,121,41,1,待公布
甘肃,91,58,2,1
吉林,89,34,1,0
新疆,75,12,1,待公布
内蒙古,72,8,-,待公布
宁夏,70,35,-,待公布
香港,60,2,1,-
台湾,22,2,1,-
青海,18,13,-,待公布
澳门,10,5,-,-
西藏,1,1,-,待公布
