name,confirmed,recovered,death,new
湖北,43317,18906,2563,499
广东,515,825,7,2
河南,262,990,19,0
浙江,396,808,1,0
湖南,245,767,4,0
安徽,270,713,6,0
江西,251,682,1,0
山东,398,352,6,0
江苏,173,458,-,0
重庆,221,349,6,1
四川,239,287,3,2
黑龙江,227,241,12,0
北京,181,215,4,1
上海,65,268,3,0
河北,60,245,6,0
福建,87,206,1,1
广西,102,148,2,1
陕西,65,179,1,0
云南,43,129,2,0
海南,39,124,5,0
贵州,41,103,2,0
天津,41,91,3,0
山西,37,96,-,1
辽宁,37,83,1,0
吉林,29,63,1,0
甘肃,9,80,2,0
香港,63,19,2,7
新疆,44,30,2,0
内蒙古,41,34,0,0
宁夏,10,61,-,0
台湾,25,5,1,2
青海,0,18,0,0
澳门,4,6,-,0
西藏,0,1,-,0
