name,confirmed,recovered,death,new
武汉,34680,10348,2043,464
孝感,2044,1328,110,17
黄冈,1038,1760,106,0
荆州,758,776,42,2
鄂州,842,502,41,2
随州,668,601,36,2
襄阳,552,593,30,1
黄石,409,568,31,3
宜昌,569,328,29,2
荆门,451,432,37,0
咸宁,321,504,11,0
十堰,352,316,3,2
仙桃,240,316,19,2
天门,200,282,13,1
恩施,96,151,4,0
潜江,96,91,8,1
神农架林区,1,10,0,0
深圳,152,262,3,0
广州,135,210,1,1
珠海,41,56,1,0
东莞,56,40,1,1
佛山,48,36,-,0
中山,13,53,-,0
惠州,13,49,-,0
汕头,4,21,-,0
江门,13,10,-,0
湛江,8,14,-,0
肇庆,8,10,1,0
梅州,5,11,-,0
茂名,7,7,-,0
阳江,4,10,-,0
清远,0,12,-,0
韶关,3,7,-,0
揭阳,3,5,-,0
汕尾,1,4,-,0
潮州,1,4,-,0
河源,1,3,-,0
待确认,0,1,-,-
信阳,75,197,2,0
郑州,38,118,1,0
南阳,23,129,3,0
驻马店,14,125,-,0
商丘,12,75,4,0
周口,27,49,-,0
平顶山,13,44,1,0
新乡,6,48,3,0
安阳,12,41,-,0
许昌,7,32,-,0
漯河,12,23,-,0
焦作,5,26,1,0
洛阳,10,20,1,0
开封,10,16,-,0
鹤壁,8,11,-,0
濮阳,7,10,-,0
三门峡,0,6,1,0
济源,2,3,-,0
待确认,0,17,2,-
温州,186,317,1,0
杭州,32,137,-,0
宁波,34,123,-,0
台州,48,98,-,0
金华,16,39,-,0
嘉兴,17,28,-,0
绍兴,12,30,-,0
省十里丰监狱,36,0,-,0
丽水,3,14,-,0
衢州,4,10,-,0
湖州,3,7,-,0
舟山,5,5,-,0
长沙,88,152,2,0
岳阳,49,106,1,0
邵阳,13,88,1,0
常德,16,66,-,0
株洲,26,54,-,0
娄底,20,56,-,0
益阳,3,56,-,0
衡阳,10,38,-,0
永州,2,41,-,0
怀化,1,39,-,0
郴州,8,31,-,0
湘潭,10,26,-,0
湘西州,0,8,-,0
张家界,0,5,-,0
待确认,0,1,-,-
合肥,54,119,1,0
蚌埠,42,113,5,0
阜阳,46,109,-,0
亳州,20,88,-,0
安庆,14,69,-,0
六安,24,45,-,0
宿州,12,29,-,0
马鞍山,17,21,-,0
芜湖,5,28,-,0
铜陵,7,22,-,0
淮北,7,20,-,0
淮南,9,18,-,0
池州,4,13,-,0
滁州,4,9,-,0
黄山,3,6,-,0
宣城,2,4,-,0
南昌,45,184,-,0
新余,21,109,-,0
上饶,26,97,-,0
九江,56,62,-,0
宜春,22,84,-,0
赣州,22,53,1,0
抚州,20,52,-,0
萍乡,17,16,-,0
吉安,10,12,-,0
鹰潭,8,10,-,0
景德镇,3,3,-,0
赣江新区,1,0,-,0
济宁,223,35,-,0
青岛,21,38,1,0
临沂,5,44,-,0
济南,23,24,-,0
烟台,27,20,-,0
潍坊,20,24,-,0
威海,11,27,-,0
聊城,10,28,-,0
德州,20,15,2,0
泰安,11,22,2,0
淄博,13,16,1,0
枣庄,4,20,-,0
菏泽,1,17,-,0
日照,5,11,-,0
滨州,4,11,-,0
南京,36,57,-,0
苏州,30,57,-,0
徐州,12,67,-,0
淮安,20,46,-,0
无锡,14,41,-,0
常州,10,41,-,0
连云港,23,25,-,0
南通,6,34,-,0
泰州,9,28,-,0
盐城,3,24,-,0
扬州,6,17,-,0
宿迁,2,11,-,0
镇江,2,10,-,0
万州区,42,72,4,0
江北区,17,11,-,0
云阳县,4,21,-,0
綦江区,10,13,-,0
合川区,9,14,-,0
奉节县,10,12,-,0
长寿区,11,11,-,0
开州区,2,18,1,0
忠县,3,18,-,0
九龙坡区,9,11,1,1
垫江县,10,10,-,0
渝中区,4,16,-,0
潼南区,11,7,-,0
两江新区,7,10,-,0
渝北区,7,10,-,0
南岸区,10,5,-,0
石柱县,4,11,-,0
大足区,5,9,-,0
巫溪县,4,10,-,0
丰都县,6,4,-,0
巫山县,3,7,-,0
铜梁区,6,4,-,0
璧山区,2,7,-,0
荣昌区,4,5,-,0
沙坪坝区,8,1,-,0
大渡口区,1,6,-,0
巴南区,3,3,-,0
永川区,1,4,-,0
涪陵区,3,2,-,0
梁平区,0,4,-,0
江津区,0,4,-,0
高新区,1,3,-,0
城口县,0,2,-,0
黔江区,0,2,-,0
彭水县,2,0,-,0
武隆县,0,1,-,0
秀山县,0,1,-,0
酉阳县,1,0,-,0
万盛经开区,1,0,-,0
成都,61,79,3,0
甘孜州,51,18,-,0
达州,27,15,-,1
南充,16,23,-,0
广安,10,20,-,0
巴中,14,10,-,0
泸州,12,12,-,0
内江,9,13,-,0
绵阳,9,13,-,0
德阳,10,8,-,0
遂宁,7,10,-,0
攀枝花,0,16,-,0
凉山州,4,9,-,0
宜宾,2,10,-,0
自贡,1,8,-,0
眉山,2,6,-,0
雅安,2,5,-,0
广元,0,6,-,0
资阳,2,2,-,1
乐山,0,3,-,0
阿坝州,0,1,-,0
哈尔滨,118,77,3,0
双鸭山,26,23,3,0
绥化,8,35,4,0
鸡西,26,20,-,0
齐齐哈尔,16,26,1,0
大庆,13,12,1,0
七台河,7,10,-,0
佳木斯,0,15,-,0
牡丹江,6,8,-,0
黑河,5,9,-,0
鹤岗,1,4,-,0
大兴安岭地区,0,2,-,0
伊春,1,0,-,0
海淀区,62,-,-,0
朝阳区,60,-,-,0
西城区,53,-,-,0
丰台区,41,-,-,0
大兴区,23,16,-,0
昌平区,26,3,-,0
通州区,18,1,-,0
房山区,16,-,-,0
石景山区,9,5,-,0
东城区,12,1,-,1
顺义区,10,-,-,0
怀柔区,4,3,-,0
密云区,7,-,-,0
门头沟区,3,-,-,0
延庆区,1,-,-,0
外地来京人员,24,2,-,0
待确认,0,184,4,-
浦东新区,10,50,-,0
宝山区,9,12,-,0
闵行区,2,17,-,0
徐汇区,3,15,-,0
静安区,4,12,-,0
松江区,3,11,-,0
长宁区,0,13,-,0
普陀区,2,9,-,0
嘉定区,3,6,-,0
杨浦区,2,7,-,0
奉贤区,2,7,-,0
虹口区,1,6,-,0
黄浦区,2,4,-,0
青浦区,1,5,-,0
崇明区,2,2,-,0
金山区,0,3,-,0
外地来沪人员,22,89,-,0
待确认,0,-,3,-
唐山,30,27,1,0
沧州,12,33,3,0
张家口,2,32,-,0
保定,0,32,-,0
邯郸,4,28,-,0
廊坊,2,28,-,0
石家庄,7,22,-,0
邢台,2,20,1,0
秦皇岛,1,8,1,0
衡水,0,8,-,0
承德,0,7,-,0
福州,9,61,1,0
莆田,25,30,-,0
泉州,25,22,-,1
厦门,8,27,-,0
宁德,4,22,-,0
南平,8,12,-,0
漳州,6,14,-,0
三明,6,8,-,0
龙岩,1,5,-,0
待确认,0,5,-,-
