name,confirmed,recovered,death,new
武汉,46607,8946,1987,348
孝感,3465,1177,108,22
黄冈,2904,1659,103,0
荆州,1574,734,42,0
鄂州,1383,465,40,4
随州,1303,551,33,3
襄阳,1174,521,29,1
黄石,1005,491,30,4
宜昌,924,304,29,7
荆门,920,389,37,2
咸宁,836,445,11,0
十堰,669,293,2,2
仙桃,573,268,19,2
天门,494,258,13,0
恩施,251,146,4,0
潜江,194,82,8,3
神农架林区,11,10,0,0
深圳,417,237,3,0
广州,345,204,-,0
珠海,98,54,1,0
东莞,96,31,1,2
佛山,84,36,-,0
中山,66,51,-,0
惠州,62,46,-,0
汕头,25,21,-,0
江门,23,9,-,0
湛江,22,14,-,0
肇庆,19,10,1,0
梅州,16,11,-,0
茂名,14,6,-,0
阳江,14,10,-,1
清远,12,10,-,0
韶关,10,6,-,0
揭阳,8,4,-,0
汕尾,5,2,-,0
潮州,5,4,-,0
河源,4,1,-,0
待确认,-,5,-,-
信阳,274,179,2,0
郑州,157,98,1,0
南阳,155,114,3,0
驻马店,139,121,-,0
商丘,91,69,4,0
周口,76,49,-,0
平顶山,58,42,1,0
新乡,57,48,3,0
安阳,53,37,-,0
许昌,39,26,-,0
漯河,35,23,-,0
焦作,32,17,1,0
洛阳,31,18,1,0
开封,26,16,-,0
鹤壁,19,11,-,0
濮阳,17,7,-,0
三门峡,7,6,1,0
济源,5,3,-,0
待确认,-,46,2,-
温州,504,292,1,0
杭州,169,131,-,0
宁波,157,114,-,0
台州,146,98,-,0
金华,55,39,-,0
嘉兴,45,25,-,0
绍兴,42,30,-,0
省十里丰监狱,36,0,-,0
丽水,17,14,-,0
衢州,14,10,-,0
湖州,10,7,-,0
舟山,10,5,-,0
待确认,-,1,-,-
长沙,242,143,2,0
岳阳,156,91,1,0
邵阳,102,88,1,0
常德,82,62,-,0
株洲,80,50,-,0
娄底,76,55,-,0
益阳,59,55,-,0
衡阳,48,37,-,0
永州,43,37,-,0
怀化,40,38,-,0
郴州,39,31,-,0
湘潭,36,25,-,0
