name,confirmed,recovered,death,new
湖北,64287,16739,2495,398
广东,1345,772,6,3
河南,1271,930,19,0
浙江,1205,766,1,0
湖南,1016,725,4,0
安徽,989,662,6,0
江西,934,645,1,0
山东,755,331,4,1
江苏,631,432,-,0
重庆,575,335,6,2
四川,527,263,3,1
黑龙江,480,224,12,0
北京,399,198,4,0
上海,335,261,3,0
河北,311,221,6,0
福建,293,174,1,0
广西,251,112,2,2
陕西,245,163,1,0
云南,174,115,2,0
海南,168,106,5,0
贵州,146,102,2,0
天津,135,81,3,0
山西,132,89,-,0
辽宁,121,75,1,0
吉林,93,54,1,2
甘肃,91,78,2,0
新疆,76,28,2,0
内蒙古,75,30,0,0
香港,74,12,2,5
宁夏,71,58,-,0
台湾,28,5,1,2
青海,18,18,-,0
澳门,10,6,-,0
西藏,1,1,-,0
