name,confirmed,recovered,death
武汉,39462,2915,1233
孝感,3201,353,65
黄冈,2823,716,75
荆州,1490,263,36
随州,1254,113,22
鄂州,1230,222,34
襄阳,1144,114,19
黄石,988,192,14
荆门,909,117,30
宜昌,901,140,21
咸宁,852,152,8
十堰,602,116,2
仙桃,523,87,17
天门,447,27,10
恩施,247,76,4
潜江,166,12,6
神农架林区,10,8,-
深圳,414,115,-
广州,338,121,-
珠海,96,37,-
东莞,89,10,1
佛山,84,23,-
中山,65,34,-
惠州,58,26,-
汕头,25,11,-
江门,23,4,-
湛江,22,11,-
肇庆,17,8,1
梅州,16,7,-
茂名,13,3,-
阳江,13,7,-
清远,12,7,-
韶关,10,4,-
揭阳,8,4,-
汕尾,5,1,-
潮州,5,1,-
河源,3,1,-
待确认,-,1,-
信阳,261,64,2
南阳,151,32,2
郑州,148,64,-
驻马店,138,64,-
商丘,91,30,2
周口,71,23,-
平顶山,58,19,1
新乡,56,10,2
安阳,51,16,-
许昌,38,6,-
漯河,34,9,-
洛阳,31,8,-
焦作,30,6,1
开封,26,6,-
鹤壁,19,4,-
濮阳,17,2,-
三门峡,7,4,-
济源,4,-,-
待确认,-,30,3
温州,502,169,-
杭州,166,75,-
宁波,155,53,-
台州,146,60,-
金华,55,24,-
嘉兴,43,11,-
绍兴,42,17,-
衢州,21,9,-
丽水,17,10,-
湖州,10,4,-
舟山,10,5,-
长沙,241,73,1
岳阳,154,51,1
邵阳,101,59,1
常德,79,28,-
株洲,78,29,-
娄底,75,34,-
益阳,59,25,-
衡阳,47,28,-
永州,43,27,-
怀化,40,30,-
郴州,39,22,-
湘潭,35,14,-
湘西州,8,6,-
张家界,5,4,-
合肥,169,43,1
蚌埠,157,9,5
阜阳,152,32,-
亳州,108,25,-
安庆,82,33,-
六安,65,15,-
宿州,39,11,-
马鞍山,36,10,-
芜湖,31,11,-
铜陵,28,10,-
淮北,26,10,-
淮南,24,7,-
池州,17,4,-
滁州,13,7,-
黄山,9,1,-
宣城,6,4,-
南昌,227,75,-
新余,129,37,-
上饶,123,31,-
九江,117,22,-
宜春,104,20,-
赣州,76,17,1
抚州,72,20,-
萍乡,32,4,-
吉安,21,9,-
鹰潭,18,3,-
景德镇,5,1,-
赣江新区,1,-,-
南京,92,29,-
苏州,86,26,-
徐州,78,23,-
淮安,63,13,-
无锡,53,18,-
