name,confirmed,recovered,death,new
武汉,41152,3458,1309,1690
孝感,3279,449,70,78
黄冈,2831,838,78,8
荆州,1501,305,37,11
鄂州,1274,244,35,44
随州,1267,140,24,13
襄阳,1155,151,20,11
黄石,983,206,15,-
荆门,915,132,33,6
宜昌,895,156,24,-
咸宁,861,181,10,9
十堰,612,126,2,10
仙桃,531,107,19,8
天门,485,39,10,38
恩施,249,81,4,2
潜江,182,18,6,16
神农架林区,10,8,-,-
深圳,415,131,2,1
广州,339,131,-,1
珠海,97,41,-,1
东莞,89,15,1,-
佛山,84,23,-,-
中山,66,39,-,1
惠州,58,26,-,-
汕头,25,13,-,-
江门,23,3,-,-
湛江,22,11,-,-
肇庆,17,8,1,-
梅州,16,7,-,-
茂名,14,3,-,1
阳江,13,7,-,-
清远,12,7,-,-
韶关,10,4,-,-
揭阳,8,4,-,-
汕尾,5,1,-,-
潮州,5,1,-,-
河源,4,1,-,1
信阳,262,84,2,1
南阳,154,57,2,3
郑州,151,72,-,3
驻马店,138,64,-,-
商丘,91,30,2,-
周口,75,27,-,4
平顶山,58,20,1,-
新乡,57,17,2,1
安阳,51,20,-,-
许昌,38,6,-,-
漯河,34,12,-,-
焦作,32,7,1,2
洛阳,31,11,-,-
开封,26,7,-,-
鹤壁,19,5,-,-
濮阳,17,2,-,-
三门峡,7,4,-,-
济源,5,-,-,1
待确认,-,-,6,-
温州,503,182,-,1
杭州,168,81,-,2
宁波,156,62,-,1
台州,146,63,-,-
金华,55,24,-,-
嘉兴,43,11,-,-
绍兴,42,18,-,-
衢州,21,9,-,-
丽水,17,11,-,-
湖州,10,4,-,-
舟山,10,5,-,-
长沙,241,88,1,-
岳阳,154,54,1,-
邵阳,101,64,1,-
常德,79,31,-,-
株洲,78,33,-,-
娄底,76,35,-,1
益阳,59,27,-,-
衡阳,48,28,-,1
永州,43,28,-,-
怀化,40,32,-,-
郴州,39,22,-,-
湘潭,35,15,-,-
湘西州,8,6,-,-
张家界,5,5,-,-
合肥,171,49,1,2
蚌埠,158,13,5,1
阜阳,153,37,-,1
亳州,108,35,-,-
安庆,83,34,-,1
六安,68,16,-,3
宿州,40,13,-,1
马鞍山,36,12,-,-
芜湖,31,13,-,-
铜陵,28,11,-,-
淮北,27,10,-,1
淮南,25,8,-,1
池州,17,6,-,-
滁州,13,7,-,-
黄山,9,1,-,-
宣城,6,4,-,-
南昌,228,89,-,1
新余,129,44,-,-
上饶,123,35,-,-
九江,117,22,-,-
宜春,106,24,-,2
赣州,76,18,1,-
抚州,72,22,-,-
萍乡,33,5,-,1
吉安,21,10,-,-
鹰潭,18,3,-,-
景德镇,6,3,-,1
赣江新区,1,-,-,-
南京,92,32,-,-
苏州,86,26,-,-
徐州,79,28,-,1
淮安,65,21,-,2
无锡,55,19,-,2
常州,49,20,-,3
连云港,48,13,-,-
南通,40,16,-,-
泰州,37,20,-,-
盐城,27,12,-,-
扬州,23,8,-,1
宿迁,13,7,-,-
镇江,12,4,-,-
万州区,108,35,3,3
江北区,28,3,-,1
云阳县,24,16,-,1
綦江区,23,6,-,-
合川区,23,6,-,-
长寿区,21,9,-,1
奉节县,20,6,-,-
开州区,20,13,1,-
忠县,20,10,-,-
九龙坡区,20,8,1,-
垫江县,20,6,-,-
渝中区,20,12,-,-
潼南区,18,2,-,-
两江新区,17,7,-,-
渝北区,15,7,-,-
南岸区,15,3,-,-
大足区,14,3,-,-
石柱县,14,5,-,-
巫溪县,13,8,-,-
丰都县,10,3,-,-
巫山县,10,5,-,-
璧山区,9,5,-,1
铜梁区,9,3,-,-
荣昌区,9,3,-,-
沙坪坝区,8,1,-,-
大渡口区,7,5,-,-
巴南区,6,1,-,-
永川区,5,2,-,-
梁平区,4,4,-,-
江津区,4,2,-,-
高新区,4,1,-,-
涪陵区,3,1,-,-
城口县,2,2,-,-
黔江区,2,2,-,-
彭水县,2,-,-,-
武隆县,1,1,-,-
秀山县,1,1,-,-
酉阳县,1,-,-,-
万盛经开区,1,-,-,-
青岛,57,26,1,-
济宁,52,18,-,1
济南,47,11,-,-
临沂,47,32,-,-
烟台,47,13,-,1
潍坊,44,10,-,1
威海,38,9,-,-
聊城,38,11,-,-
德州,37,7,1,-
泰安,32,5,-,-
淄博,29,4,-,-
枣庄,24,4,-,-
菏泽,18,13,-,-
