name,confirmed,recovered,death,new
湖北,58182,6639,1696,1933
广东,1322,476,4,6
河南,1246,445,16,15
浙江,1171,470,-,4
湖南,1006,468,3,2
安徽,973,269,6,11
江西,930,275,1,5
江苏,626,226,-,9
重庆,551,207,5,7
山东,541,175,2,4
四川,495,136,3,14
黑龙江,457,80,11,12
北京,381,114,4,1
上海,331,161,1,3
河北,301,111,3,1
福建,290,84,-,3
陕西,240,74,-,4
广西,238,51,2,1
云南,171,45,-,0
海南,162,52,4,0
贵州,146,47,1,2
山西,129,50,-,1
天津,125,45,3,2
辽宁,121,41,1,1
甘肃,90,54,2,0
吉林,89,30,1,0
新疆,75,12,1,4
内蒙古,72,8,-,2
宁夏,70,33,-,0
香港,57,2,1,-
台湾,20,2,1,-
青海,18,13,-,0
澳门,10,5,-,-
西藏,1,1,-,0
