name,confirmed,recovered,death,new
武汉,33527,11829,2085,370
孝感,2000,1388,113,19
黄冈,945,1852,107,0
荆州,711,822,44,1
鄂州,803,543,41,2
随州,617,652,37,1
襄阳,492,653,30,0
黄石,388,591,32,3
宜昌,535,362,30,1
荆门,416,469,37,2
咸宁,265,560,11,0
十堰,320,348,3,0
仙桃,219,337,19,0
天门,197,286,13,1
恩施,89,158,4,0
潜江,93,94,9,1
神农架林区,1,10,0,0
深圳,152,262,3,0
广州,123,222,1,0
珠海,38,59,1,0
东莞,56,40,1,0
佛山,48,36,-,0
中山,11,55,-,0
惠州,13,49,-,0
汕头,3,22,-,0
江门,13,10,-,0
湛江,8,14,-,0
肇庆,8,10,1,0
梅州,4,12,-,0
茂名,7,7,-,0
阳江,4,10,-,0
清远,0,12,-,0
韶关,3,7,-,0
揭阳,3,5,-,0
汕尾,1,4,-,0
潮州,1,4,-,0
河源,0,4,-,0
信阳,63,209,2,0
郑州,33,123,1,0
南阳,23,129,3,0
驻马店,13,126,-,0
商丘,7,80,4,0
周口,20,56,-,0
平顶山,13,44,1,0
新乡,5,49,3,0
安阳,10,43,-,0
许昌,7,32,-,0
漯河,10,25,-,0
焦作,3,28,1,0
洛阳,9,21,1,0
开封,10,16,-,0
鹤壁,4,15,-,0
濮阳,7,10,-,0
三门峡,0,6,1,0
济源,2,3,-,0
待确认,0,12,2,-
温州,149,354,1,0
杭州,30,139,-,0
宁波,35,122,-,0
台州,45,101,-,0
金华,12,43,-,0
嘉兴,17,28,-,0
绍兴,12,30,-,0
省十里丰监狱,33,3,-,0
丽水,3,14,-,0
衢州,3,11,-,0
湖州,3,7,-,0
舟山,4,6,-,0
待确认,0,7,-,-
长沙,81,159,2,0
岳阳,49,106,1,0
邵阳,11,90,1,0
常德,15,67,-,0
株洲,26,54,-,0
娄底,19,57,-,0
益阳,3,56,-,0
衡阳,10,38,-,0
永州,2,41,-,0
怀化,1,39,-,0
郴州,6,33,-,0
湘潭,7,29,-,0
湘西州,0,8,-,0
张家界,0,5,-,0
