name,confirmed,recovered,death,new
湖北,41618,20954,2615,401
广东,496,844,7,0
河南,225,1027,19,0
浙江,339,865,1,0
湖南,230,782,4,0
安徽,239,744,6,0
江西,214,719,1,0
山东,382,368,6,1
江苏,154,477,-,0
重庆,197,373,6,0
四川,233,295,3,2
黑龙江,219,249,12,0
北京,161,235,4,0
上海,61,272,3,1
河北,57,249,6,1
福建,86,207,1,0
广西,112,138,2,0
陕西,55,189,1,0
云南,28,144,2,0
海南,36,127,5,0
贵州,40,104,2,0
天津,41,91,3,0
山西,31,102,-,0
辽宁,32,88,1,0
吉林,29,63,1,0
甘肃,9,80,2,0
香港,65,18,2,4
新疆,44,30,2,0
内蒙古,40,35,0,0
宁夏,6,65,-,0
台湾,26,5,1,1
青海,0,18,0,0
澳门,3,7,-,0
西藏,0,1,-,0
